index_content,word,nature,index_word
1,适合,v,0
1,家庭,n,1
1,出行,v,2
2,升级,vn,0
2,房间,n,1
2,延迟,v,2
2,退房,v,3
2,赞,v,4
3,几年,m,0
3,广州,ns,1
3,每次,r,2
3,住,v,3
3,位置,v,4
3,性价比,n,5
3,不错,a,6
3,免费,vn,7
3,升级,vn,8
3,房间,n,9
5,超,v,0
5,五星,nz,1
5,好评,v,2
6,干净,a,0
6,卫生,an,1
6,服务,vn,2
7,位置,v,0
7,传统,n,1
7,标准,n,2
7,五星,nz,3
7,唯一,b,4
7,遗憾,a,5
7,浴室,n,6
7,浴缸,n,7
7,淋浴间,n,8
8,酒店设施,n,0
8,稍微,d,1
8,旧,a,2
8,地理位置,n,3
8,确实,ad,4
8,优越,a,5
10,地理位置,n,0
10,房间,n,1
10,干净,a,2
10,整洁,a,3
11,地理位置,n,0
11,地铁口,n,1
11,米,q,2
11,服务态度,n,3
11,棒,zg,4
11,管理,vn,5
11,不断进步,l,6
11,中,f,7
11,下次,t,8
11,入住,v,9
11,点,m,10
11,赞,v,11
13,距离,n,0
13,广州东站,ns,1
13,接送,v,2
13,客人,n,3
13,价格合理,n,4
13,接受,v,5
13,早餐,n,6
13,不错,a,7
13,吃,v,8
13,好吃,v,9
13,品种齐全,i,10
13,适合,v,11
13,老幼,n,12
13,妇孺,n,13
13,自行,r,14
13,选择,v,15
13,食用,n,16
15,性价比,n,0
15,高,a,1
15,早餐,n,2
15,品种,n,3
15,面包,n,4
15,种类,n,5
15,地铁,n,6
16,广州东站,ns,0
16,地铁站,n,1
16,吃饭,v,2
16,性价比,n,3
16,不错,a,4
16,推荐,v,5
16,入住,v,6
16,广州东站,ns,7
16,地铁站,n,8
16,吃饭,v,9
16,性价比,n,10
16,不错,a,11
16,推荐,v,12
16,入住,v,13
17,房间,n,0
17,服务,vn,1
18,住,v,0
18,性价比,n,1
18,高,a,2
19,广州东站,ns,0
19,旁边,f,1
20,卫生,an,0
21,地点,n,0
21,佳,a,1
21,服务,vn,2
22,不错,a,0
22,服务,vn,1
23,早茶,n,0
23,不错,a,1
24,性价比,n,0
24,高,a,1
24,不错,a,2
24,服务,vn,3
25,出差,v,0
25,火车站,n,1
25,对面,n,2
25,服务,vn,3
26,服务,vn,0
26,挺不错,i,1
