酒店名称,评论日期,评论内容,入住房型,主题,评论对主题贡献度,主题关键字,评论分词,评价方面,酒店编号,emotional_value,index,情感等级
H03,2020-01-01,优点：装修富丽堂皇，价钱便宜，楼下有个超市；缺点：冬天去泳池很冷很不方便，淋浴室更衣室冷得像冰窖，早餐很混乱，没有服务员，一切自取，打车去长隆野生动物园并不近，慎选,豪华园景房,3.0,0.4066999852657318,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['优点', '装修', '富丽堂皇', '价钱', '便宜', '楼下', '有个', '超市', '缺点', '冬天', '泳池', '冷', '淋浴室', '更衣室', '冷', '冰窖', '早餐', '混乱', '服务员', '自取', '打车', '长隆', '野生', '动物园', '慎选']",性价比,3,0.0,1679,2
H03,2020-01-01,适合带孩子去，停车方便，床因为我们没加也不知道能不能。咨询酒店吧,豪华园景房,0.0,0.8730000257492065,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['适合', '孩子', '停车', '床', '没加', '咨询']",服务,3,1.0,1680,2
H03,2020-01-01,很豪华大气,豪华园景房,6.0,0.3808999955654144,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['豪华', '大气']",设施,3,1.0,1681,2
H03,2020-01-01,早餐不错，比长隆酒店的好，更精致！适合去长隆玩儿住这里！,豪华园景房,2.0,0.9042999744415284,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['早餐', '不错', '长隆', '精致', '适合', '长隆', '玩儿', '住']",位置,3,2.0,1682,3
H03,2020-01-01,工作原因，经常入住全国各大城市五星级酒店，这次带夫人小家伙到长隆来玩，入住**酒店，酒店综合的服务给我留下了非常深刻的印象，入住体验也非常好，这是我多年来第一次给酒店写感谢信而且一次写了两封感谢信的酒店，推荐大家入住！,豪华园景房,6.0,0.4954000115394592,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['工作', '原因', '入住', '全国', '大城市', '五星级', '夫人', '小家伙', '长', '玩', '入住', '综合', '服务', '留下', '深刻', '印象', '入住', '体验', '多年', '第一次', '写', '感谢信', '写', '两封', '感谢信', '推荐', '入住']",设施,3,1.0,1683,2
H03,2020-01-02,酒店非常乾淨，房間好大，服務人員非常好，還給升了級，超級棒！開車去長隆玩的，酒店還可以免費停車，下次去長隆一定訂這定酒店！比長隆園區還的酒店好多了！,豪华园景房,3.0,0.3743999898433685,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['乾', '淨', '房間', '好大', '服務', '人員', '還', '給升', '級', '超級', '棒', '開車', '長隆', '玩', '免費', '停車', '下次', '長隆', '訂', '這', '長隆園區', '還', '好多']",性价比,3,2.0000000000000004,1684,3
H03,2020-01-02,去長隆玩的，上次是住的園區裹的酒店，這次想著住外面方面找好吃的，沒想到這酒店有驚喜，這個價錢有這個檔次實在意外！太棒的酒店????????????,豪华园景房,4.0,0.3713999986648559,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['長隆', '玩', '上次', '住', '園區', '裹', '這次', '想著', '住', '外面', '找', '好吃', '沒', '想到', '這', '驚喜', '這個', '價錢', '這個', '檔次', '實在', '意外', '太棒']",设施,3,0.0,1685,2
H03,2020-01-02,还可以吧，就是去的时候大堂在装修什么东西，感觉不太好,豪华园景房,2.0,0.572700023651123,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['装修', '东西', '感觉', '不太好']",位置,3,-1.0,1686,1
H03,2020-01-02,酒店餐饮，冠梁服务好，林先生服务好,豪华园景房,5.0,0.8116000294685364,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['餐饮', '冠梁', '服务', '林先生', '服务']",性价比,3,2.0000000000000004,1687,3
H03,2020-01-02,在广州性价比可以,商务套房,2.0,0.4135000109672546,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['广州', '性价比']",位置,3,2.0000000000000004,1688,3
H03,2020-01-04,有免费停车，食饭方便，各方面的配置及服务都配得上五星质量。很好！,豪华园景房,0.0,0.3411000072956085,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['免费', '停车', '食饭', '配置', '服务', '配得', '五星', '质量']",服务,3,1.0,1689,2
H03,2020-01-04,不错的酒店，离广州南站和长隆都不太远。早餐丰盛。,豪华园景房,2.0,0.5321999788284302,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['不错', '广州', '南站', '和长隆', '太', '远', '早餐', '丰盛']",位置,3,2.0000000000000004,1690,3
